Country ;happiness;freedom;age_exp;corruption;alcohol;precipitation;unemployment;coffee;pop_density;health_spend;gdp;facebook;pop;bmi_women;bmi_men;gdp1000;facebook_share
Mongolia;5,76;1,5;68,1;36;5,9;241;7,08;0,65;2,11;3,85;4156,85;2740000;3278292;25,7;27,4;4,16;0,835801
Montenegro;5,55;3;75,9;46;12,24;;18,49;5,47;46,7;8,34;8845,91;320000;621306;25,7;28,1;8,85;0,515044
Morocco;5,06;5;73,3;40;0,49;346;11,47;0,96;82,7;5,33;3226,98;21730000;36910558;26,2;24,2;3,23;0,58872
Mozambique;5,05;4,5;58,4;25;2,69;1032;3,98;0,08;39,7;8,09;503,32;2756000;31255435;23,3;24,9;0,5;0,088177
Myanmar;4,39;5,5;69,5;30;2,14;2091;2,17;0,76;83,3;4,9;1250,17;20550000;54409794;22,5;26,6;1,25;0,377689
Namibia;4,46;2;65,2;51;3,15;285;21,68;0,57;3,09;8,31;5588,39;792000;2540916;25,1;25,6;5,59;0,311699
Nepal;5,38;3,5;71,1;31;0,62;1500;5,05;0,05;203;4,53;1178,53;13040000;29136808;20,7;21,4;1,18;0,447544
Netherlands;7,42;1;81,7;82;9,67;778;4,01;2,54;508;10,03;53044,53;11090000;17441500;25,5;22,6;53,04;0,63584
New Zealand;7,2;1;81,8;89;10,69;1732;4,12;3,72;18,3;9,21;43306,07;3556000;5084300;27,4;20,8;43,31;0,699408
Niger*;5;4;62,5;33;0,52;151;0,75;0,07;19,1;5,29;570,72;577800;24206636;22;27,7;0,57;0,023869
Nigeria;4,55;4,5;64,3;27;6,19;1150;9,79;0,03;226;3,09;2027,78;31860000;206139587;23,7;27,8;2,03;0,154555
North Macedonia;5,2;3;74,4;35;6,43;619;16,2;4,03;82,6;6,55;6108,74;1000000;2072531;25,4;21,2;6,11;0,482502
Norway;7,37;1;82,9;85;7,14;1414;4,99;8,77;14,8;10,02;82267,81;3400000;5379475;25,7;23;82,27;0,632032
Pakistan;4,52;5;65,9;32;0,31;494;4,35;4,08;287;3,2;1482,21;49200000;220892331;23,4;26,3;1,48;0,222733
Panama;6,31;2;80;37;7,77;2928;12,09;1,48;58;7,28;15545;2000000;4314768;27,7;22,3;15,54;0,463524
Paraguay;5,58;3;76,6;29;7,01;1130;7,21;0,62;18;6,72;5782,78;3300000;7132530;25,9;26,6;5,78;0,462669
Peru;5,56;3;80,3;37;6,78;1738;4,83;2,95;25,8;5,2;6957,79;20000000;32971846;26;26,3;6,96;0,606578
Philippines;5,9;3,5;71,8;34;7,02;2348;2,41;2,47;368;3,95;3252,11;91000000;109581085;23,5;25;3,25;0,830435
Poland;6,12;2;78,1;60;11,89;600;3,37;2,3;124;6,33;15468,48;18610000;37899070;25,9;25,5;15,47;0,491041
Portugal;6,02;1;81,7;63;12,09;854;6,65;5,25;111;9,41;23562,55;6876000;10297081;26,2;24,8;23,56;0,667762
Romania;6,48;2;75,5;48;12,34;637;5,17;2,81;83,6;5,56;12398,98;10860000;19257520;25,2;26,7;12,4;0,563936
Russia;5,46;6,5;73;29;10,5;460;5,01;1,46;8,91;5,36;11287,36;13100000;144104080;27,2;28,4;11,29;0,090907
Rwanda*;3,27;6;68,7;55;7,96;1212;1,61;0,61;525;6,68;783,64;806200;12952209;22,1;28,1;0,78;0,062244
Saudi Arabia;6,52;7;74,5;49;0;59;7,36;1,78;16,2;5,75;23337,02;26280000;34813867;29,6;22,6;23,34;0,754872
Senegal;5,05;3;68,5;45;0,73;686;3,72;0,62;87;4,24;1458,07;3802000;16743930;24,3;30,4;1,46;0,227067
Serbia;6,18;3,5;75,7;41;8,85;;11,81;3,62;99,9;8,53;7252,4;3400000;6899126;25,7;23,5;7,25;0,492816
Sierra Leone;3,57;3;61,8;30;5,31;2526;5,33;0,01;111;8,29;533,99;833400;7976985;23,9;21,9;0,53;0,104476
Slovakia;6,39;1;77,6;50;11,06;824;6,74;3,27;114;6,71;19389,98;2713000;5458827;26,3;25,6;19,39;0,496993
Slovenia;6,63;1;81,4;61;12,11;1162;4,42;4,67;103;8,28;26116,86;1067000;2102419;26,6;22,5;26,12;0,507511
South Africa;5,19;2;65,1;43;9,45;495;33,56;1,02;48,9;8,86;7005,1;24600000;59308690;29,5;27,4;7,01;0,414779
South Korea;5,94;2;82,9;54;8,45;1274;3,53;2,08;527;7,54;33436,92;25750000;51836239;23,3;27,2;33,44;0,496757
Spain;6,48;1;83,1;57;12,67;636;14,73;4,06;93,7;8,99;30364,58;28450000;47363419;26,3;22;30,36;0,600675
Sri Lanka;4,36;4;77,3;38;2,87;1712;5,39;0,28;341;3,91;4059,21;7968000;21919000;23,1;26,9;4,06;0,36352
Sweden;7,38;1;82,8;84;9,04;624;8,66;9,9;24,6;10,94;54589,06;8581261;10353442;25,1;25,4;54,59;0,828832
Switzerland;7,51;1;84;85;11,23;1537;5,32;6,65;219;11,38;86388,41;3700000;8636561;24,1;22,4;86,39;0,428411
Tajikistan;5,38;6,5;69,6;21;0,88;691;7,75;0,17;68,1;7,24;853,22;1136000;9537642;23,9;26,2;0,85;0,119107
Thailand;5,89;6;78,4;37;8,5;1622;1,42;0,36;137;3,82;7296,88;58500000;69799978;24,4;24,4;7,3;0,838109
Togo;4,11;4,5;65;32;2,66;1168;4;0,54;152;6,09;901,52;860500;8278737;22,7;22,5;0,9;0,103941
Tunisia;4,52;2,5;77,7;42;2,04;207;16,82;2,62;76,1;6,82;3680,89;8170000;11818618;27,9;21,9;3,68;0,691282
Turkey;4,74;5,5;78,4;40;1,77;593;13,39;0,72;110;4,12;9454,35;44000000;84339067;28,3;31;9,45;0,521704
Turkmenistan*;5,47;7;70,8;19;3,09;161;5,08;0,6;12,8;6,61;6967,38;224800;6031187;24,7;26,4;6,97;0,037273
Uganda;4,6;5,5;66,2;26;12,48;1180;2,94;0,06;229;4,03;770,6;3328000;45741000;22,5;25,2;0,77;0,072757
Ukraine;5,08;3,5;73,8;30;8,34;565;8,88;0,99;75,5;7,52;3096,56;9500000;44134693;26,2;26,7;3,1;0,21525
United Arab Emirates;6,58;6,5;73,9;71;3,85;78;3,36;1,91;118;4,15;43839,32;10316000;9890400;29,6;25,3;43,84;1,043032
United Kingdom;6,94;1;81,1;82;11,45;1220;4,53;2,82;281;9,9;43646,95;44000000;67215293;26,9;22,4;43,65;0,654613
United States;6,98;2;78,9;75;9,97;715;5,46;4,39;36,2;16,69;63064,42;240000000;331501080;28,3;25,4;63,06;0,72398
Uruguay;6,47;1;77,5;70;6,92;1300;10,45;0,69;19,8;9,01;18703,86;2400000;3473727;26,6;28,1;18,7;0,690901
Uzbekistan;6,06;6,5;68,4;22;2,61;206;7,16;0,2;78,7;5,3;1597,07;4702000;34232050;25,4;27,4;1,6;0,137357
Vietnam;5,49;6,5;74,5;35;7,93;1821;2,17;2,19;314;5,03;2566,45;75940000;97338583;21,1;25,3;2,57;0,780163
Zambia;3,76;4;63,2;37;4,46;1020;13,03;0,17;24,7;5,03;1516,37;2543000;18383956;23,1;27,4;1,52;0,138327
Zimbabwe;3;5,5;61;22;4,52;657;5,17;0,13;38,4;8,68;1254,64;1303000;14862927;24,6;20,9;1,25;0,087668
