Country ;Happiness;Alcohol;Median Age;Precipitation;Unemployment;Coffee;Pop density;Healthcare spending;GDP per capita;Facebook;Population;BMI-women;BMI-men;;
Sweden;7,384;9,04;41,1;624;8,66100025;9,9;24,6;10,9410629;54589,0604;8581261;10353442;25,1;25,4;;
Switzerland;7,512;11,23;43,1;1537;5,3210001;6,65;219;11,3799706;86388,405;3700000;8636561;24,1;22,4;;
Tajikistan;5,377;0,88;22,4;691;7,75400019;0,17;68,1;7,2394805;853,218873;1136000;9537642;23,9;26,2;;
Thailand;5,891;8,5;40,1;1622;1,41799998;0,36;137;3,8184948;7296,87961;58500000;69799978;24,4;24,4;;
Togo;4,112;2,66;19,4;1168;4,00400019;0,54;152;6,08747768;901,523017;860500;8278737;22,7;22,5;;
Tunisia;4,516;2,04;32,8;207;16,8239994;2,62;76,1;6,82099104;3680,8926;8170000;11818618;27,9;21,9;;
Turkey;4,744;1,77;31,5;593;13,3859997;0,72;110;4,12414074;9454,34844;44000000;84339067;28,3;31;;
Turkmenistan*;5,474;3,09;26,9;161;5,08099985;0,6;12,8;6,60684919;6967,37504;224800;6031187;24,7;26,4;;
Uganda;4,603;12,48;16,7;1180;2,93600011;0,06;229;4,03115654;770,600784;3328000;45741000;22,5;25,2;;
Ukraine;5,084;8,34;41,2;565;8,87899971;0,99;75,5;7,51988459;3096,5617;9500000;44134693;26,2;26,7;;
United Arab Emirates;6,576;3,85;32,6;78;3,35800004;1,91;118;4,14545679;43839,3245;10316000;9890400;29,6;25,3;;
United Kingdom;6,943;11,45;40,5;1220;4,52600002;2,82;281;9,90384102;43646,952;44000000;67215293;26,9;22,4;;
United States;6,977;9,97;38,3;715;5,46400023;4,39;36,2;16,6871052;63064,4184;240000000;331501080;28,3;25,4;;
Uruguay;6,474;6,92;35,8;1300;10,4469995;0,69;19,8;9,01455498;18703,8603;2400000;3473727;26,6;28,1;;
Uzbekistan;6,063;2,61;27,8;206;7,16099977;0,2;78,7;5,30275869;1597,06834;4702000;34232050;25,4;27,4;;
Vietnam;5,485;7,93;32,5;1821;2,16599989;2,19;314;5,03448868;2566,44749;75940000;97338583;21,1;25,3;;
Zambia;3,76;4,46;17,6;1020;13,026;0,17;24,7;5,03271484;1516,36837;2543000;18383956;23,1;27,4;;
Zimbabwe;2,995;4,52;18,7;657;5,17399979;0,13;38,4;8,68006228;1254,64226;1303000;14862927;24,6;20,9;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
